Value,area,type,country,percent,id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
94867,0.117819928,dam,TURKEY,1.132331224,2,0.070075688,,,,,,,,0.107038688,0.10780875,0.086247,0.057754688,0.107038688,0.08932725,0.088557188,0.065455313,0.059294813,0.054674438,0.077776313,0.10780875,0.1047285,0.10780875,0.102418313,0.103188375,0.056214563,0.120899813,0.118589625,0.115509375,0.123980063,0.130910625,0.08932725
76751,0.032513097,artificial,IRAQ,5.146521809,1,,,,,,,,,,,,,,,,,,,,,,,0.000770063,,0.000770063,0.005390438,0.011550938,0.008470688,0.007700625,0.012321,0.013861125
154630,0.117789984,dam,TURKEY,15.82096534,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068535563,0.070075688,0.097027875,0.130140563,0.131680688
47857,0.117767103,dam,IRAN,0.969866836,2,,,,,,,,,,,,,,0.036963,0.038503125,0.036192938,0.013091063,0.038503125,,,0.038503125,0.036963,0.014631188,,,,0.049284,0.060834938,,0.04620375,0.046973813
103240,0.117640257,dam,TURKEY,2.19506176,2,,,,,,,,,,,,,,,,,0.004620375,,,,,,0.00308025,0.00308025,0.006930563,0.016941375,0.010780875,0.016171313,0.020791688,0.031572563,0.043893563
151901,0.032492962,artificial,TURKEY,0.775147168,1,,,,,,,,,0.007700625,0.00924075,0.000770063,0.001540125,0.005390438,0.00308025,0.00308025,0.00308025,0.002310188,0.00308025,0.000770063,0.008470688,0.0061605,0.007700625,0.007700625,0.008470688,0.008470688,0.007700625,0.007700625,0.0061605,0.008470688,0.00924075,0.010010813
151175,0.117608003,dam,TURKEY,0.616319825,2,,,,,,,,,,0.12321,0.121669875,0.034652813,0.108578813,0.113199188,0.123980063,0.123980063,0.109348875,0.053904375,0.1170495,0.125520188,0.125520188,0.125520188,0.124750125,0.120899813,0.111659063,0.120899813,0.1293705,0.12629025,0.109348875,0.122439938,0.085476938
81402,0.032479312,artificial,IRAQ,0.232657609,1,0.002310188,0.00308025,,,,,,,,,,0.000770063,,0.005390438,,0.000770063,,,,,,,,0.005390438,0.004620375,0.00308025,0.000770063,0.001540125,0.00308025,0.005390438,0.008470688
151524,0.0324561,artificial,TURKEY,-0.032698403,1,,,,,,,,,,,0.012321,0.028492313,0.04004325,0.043893563,0.043893563,0.042353438,0.043893563,0.041583375,0.041583375,0.043893563,0.0431235,0.043893563,0.023101875,0.038503125,0.043893563,,0.041583375,0.039273188,0.003850313,0.043893563,0.038503125
273537,0.11751096,dam,IRAN,0.713132794,2,,,,,,,,,,,,,,,0.056984625,0.077776313,0.071615813,0.077776313,0.025412063,0.063145125,0.07084575,0.077776313,0.077776313,0.016171313,0.074696063,0.077776313,0.0800865,0.0800865,0.05852475,0.080856563,0.079316438
